"filename", "language", "JavaScript", "XML", "PHP", "JSON", "CSS", "SCSS", "Markdown", "comment", "blank", "total"
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\dragula.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\dropzone.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\flatpickr.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\fullcalendar.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\holder.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 11, 0, 13
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\jkanban.js", "JavaScript", 1447, 0, 0, 0, 0, 0, 0, 75, 175, 1697
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\jquery.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\material-dashboard.js", "JavaScript", 673, 0, 0, 0, 0, 0, 0, 31, 105, 809
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\material-dashboard.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\moment.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 5, 0, 7
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\multistep-form.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 23, 59, 168
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\nouislider.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\photoswipe-ui-default.min.js", "JavaScript", 660, 0, 0, 0, 0, 0, 0, 45, 154, 859
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\photoswipe.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 3, 1, 5
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\plugins\Chart.extension.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 20, 17, 130
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\plugins\bootstrap-notify.js", "JavaScript", 360, 0, 0, 0, 0, 0, 0, 31, 41, 432
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\plugins\chartjs.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 11, 1, 14
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\plugins\perfect-scrollbar.min.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 6, 1, 20
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\plugins\smooth-scrollbar.min.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 22, 1, 26
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\plugins\sweetalert.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\plugins\world.js", "JavaScript", 2450, 0, 0, 0, 0, 0, 0, 1, 13, 2464
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\prism.js", "JavaScript", 745, 0, 0, 0, 0, 0, 0, 103, 179, 1027
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\quill.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 6, 1, 8
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\round-slider.min.js", "JavaScript", 123, 0, 0, 0, 0, 0, 0, 146, 3, 272
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\scss\material-dashboard.scss", "SCSS", 0, 0, 0, 0, 0, 6, 0, 18, 7, 31
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\scss\material-dashboard\_accordion.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\scss\material-dashboard\_alert.scss", "SCSS", 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\scss\material-dashboard\_avatars.scss", "SCSS", 0, 0, 0, 0, 0, 85, 0, 10, 29, 124
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\scss\material-dashboard\_backgrounds.scss", "SCSS", 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\scss\material-dashboard\_badge.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\scss\material-dashboard\_breadcrumbs.scss", "SCSS", 0, 0, 0, 0, 0, 33, 0, 4, 12, 49
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\scss\material-dashboard\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 163, 0, 2, 26, 191
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\scss\material-dashboard\_cards-extend.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\scss\material-dashboard\_cards.scss", "SCSS", 0, 0, 0, 0, 0, 50, 0, 0, 11, 61
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\scss\material-dashboard\_components.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 1, 1, 6
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\scss\material-dashboard\_dark-version.scss", "SCSS", 0, 0, 0, 0, 0, 197, 0, 3, 39, 239
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\scss\material-dashboard\_dropdown-extend.scss", "SCSS", 0, 0, 0, 0, 0, 22, 0, 2, 8, 32
